Voltage in mV 	 time in ms 
36.41	,	572508
36.31	,	572758
35.52	,	573008
36.16	,	573258
36.28	,	573508
36.06	,	573758
35.47	,	574008
35.92	,	574258
35.84	,	574508
35.91	,	574758
35.58	,	575008
35.77	,	575258
35.73	,	575508
35.56	,	575758
35.28	,	576008
35.78	,	576258
35.63	,	576508
35.53	,	576758
35.38	,	577008
35.66	,	577258
35.50	,	577508
35.45	,	577758
35.39	,	578008
35.52	,	578258
35.56	,	578508
35.38	,	578758
35.20	,	579008
35.27	,	579258
35.36	,	579508
35.20	,	579758
35.25	,	580008
35.30	,	580258
35.09	,	580508
35.30	,	580758
35.19	,	581008
35.16	,	581258
34.95	,	581508
35.33	,	581758
35.00	,	582008
35.11	,	582258
34.95	,	582508
35.34	,	582758
34.95	,	583008
35.11	,	583258
34.98	,	583508
35.31	,	583758
34.91	,	584008
35.02	,	584258
34.95	,	584508
35.44	,	584758
34.98	,	585008
35.11	,	585258
34.92	,	585508
35.20	,	585758
34.66	,	586008
34.83	,	586258
35.05	,	586508
35.34	,	586758
34.69	,	587008
34.91	,	587258
34.77	,	587508
35.16	,	587758
34.84	,	588008
34.95	,	588258
34.69	,	588508
35.70	,	588758
34.78	,	589008
34.97	,	589258
34.69	,	589508
35.27	,	589758
34.80	,	590008
34.86	,	590258
34.78	,	590508
35.16	,	590758
34.53	,	591008
34.78	,	591258
34.63	,	591508
35.20	,	591758
34.67	,	592008
34.73	,	592258
34.56	,	592508
35.23	,	592758
34.63	,	593008
34.75	,	593258
34.61	,	593508
35.16	,	593758
34.70	,	594008
34.61	,	594258
34.52	,	594508
34.95	,	594758
34.48	,	595008
34.59	,	595258
34.61	,	595508
35.61	,	595758
34.50	,	596008
34.69	,	596258
34.23	,	596508
37.64	,	596758
34.22	,	597008
34.38	,	597258
34.31	,	597508
34.41	,	597758
34.11	,	598008
34.22	,	598258
34.16	,	598508
34.27	,	598758
34.08	,	599008
34.14	,	599258
34.08	,	599508
34.14	,	599758
34.02	,	600008
34.11	,	600258
33.94	,	600508
34.02	,	600758
33.98	,	601008
34.02	,	601258
33.91	,	601508
34.30	,	601758
34.36	,	602008
34.31	,	602258
34.27	,	602508
34.34	,	602758
34.36	,	603008
34.34	,	603258
34.22	,	603508
34.33	,	603758
34.30	,	604008
34.34	,	604258
34.19	,	604508
34.33	,	604758
34.55	,	605008
34.16	,	605258
34.31	,	605508
34.20	,	605758
34.19	,	606008
34.19	,	606258
34.17	,	606508
34.17	,	606758
34.22	,	607008
34.16	,	607258
34.13	,	607508
34.19	,	607758
34.33	,	608008
34.25	,	608258
34.09	,	608508
34.25	,	608758
34.17	,	609008
34.22	,	609258
34.09	,	609508
34.22	,	609758
34.11	,	610008
34.25	,	610258
34.08	,	610508
34.22	,	610758
34.20	,	611008
34.28	,	611258
34.06	,	611508
34.22	,	611758
34.09	,	612008
34.30	,	612258
34.03	,	612508
34.28	,	612758
34.09	,	613008
34.23	,	613258
34.02	,	613508
34.22	,	613758
34.02	,	614008
34.20	,	614258
34.05	,	614508
34.16	,	614758
33.95	,	615008
34.17	,	615258
33.97	,	615508
34.14	,	615758
34.00	,	616008
34.09	,	616258
33.98	,	616508
34.11	,	616758
33.94	,	617008
34.13	,	617258
34.05	,	617508
34.19	,	617758
33.97	,	618008
34.16	,	618258
34.00	,	618508
34.11	,	618758
33.97	,	619008
34.22	,	619258
33.91	,	619508
34.19	,	619758
33.94	,	620008
34.17	,	620258
33.94	,	620508
34.13	,	620758
33.98	,	621008
34.08	,	621258
33.94	,	621508
34.06	,	621758
33.89	,	622008
34.08	,	622258
33.94	,	622508
34.14	,	622758
33.94	,	623008
34.08	,	623258
33.89	,	623508
34.11	,	623758
33.94	,	624008
34.11	,	624258
33.95	,	624508
34.05	,	624758
33.86	,	625008
34.09	,	625258
33.88	,	625508
34.05	,	625758
33.91	,	626008
34.03	,	626258
33.86	,	626508
34.03	,	626758
33.91	,	627008
34.09	,	627258
33.95	,	627508
34.11	,	627758
33.88	,	628008
34.06	,	628258
33.91	,	628508
34.06	,	628758
33.84	,	629008
34.05	,	629258
33.88	,	629508
34.03	,	629758
33.86	,	630008
34.02	,	630258
33.86	,	630508
34.06	,	630758
33.86	,	631008
34.05	,	631258
33.89	,	631508
34.03	,	631758
33.83	,	632008
34.02	,	632258
33.84	,	632508
34.06	,	632758
33.86	,	633008
34.02	,	633258
33.86	,	633508
33.92	,	633758
33.81	,	634008
33.94	,	634258
33.86	,	634508
33.94	,	634758
33.83	,	635008
33.94	,	635258
33.83	,	635508
33.94	,	635758
33.86	,	636008
33.94	,	636258
33.83	,	636508
33.95	,	636758
33.80	,	637008
33.88	,	637258
33.80	,	637508
33.89	,	637758
33.80	,	638008
33.91	,	638258
33.78	,	638508
33.89	,	638758
33.81	,	639008
33.86	,	639258
33.75	,	639508
33.84	,	639758
33.77	,	640008
33.86	,	640258
33.77	,	640508
33.84	,	640758
33.77	,	641008
34.06	,	641258
34.06	,	641508
34.11	,	641758
34.03	,	642008
34.08	,	642258
34.00	,	642508
34.08	,	642758
33.98	,	643008
34.02	,	643258
33.89	,	643508
33.97	,	643758
33.94	,	644008
33.89	,	644258
33.89	,	644508
33.86	,	644758
33.86	,	645008
33.83	,	645258
33.77	,	645508
33.86	,	645758
33.83	,	646008
33.80	,	646258
33.80	,	646508
33.75	,	646758
33.75	,	647008
33.75	,	647258
33.75	,	647508
33.73	,	647758
33.77	,	648008
33.72	,	648258
33.66	,	648508
33.70	,	648758
33.67	,	649008
33.67	,	649258
33.66	,	649508
33.58	,	649758
33.66	,	650008
33.58	,	650258
33.58	,	650508
33.59	,	650758
33.63	,	651008
33.56	,	651258
33.58	,	651508
33.53	,	651758
33.58	,	652008
33.53	,	652258
33.53	,	652508
33.47	,	652758
33.52	,	653008
33.52	,	653258
33.56	,	653508
33.47	,	653758
33.53	,	654008
33.48	,	654258
33.50	,	654508
33.45	,	654758
33.52	,	655008
33.39	,	655258
33.45	,	655508
33.39	,	655758
33.47	,	656008
33.38	,	656258
33.48	,	656508
33.31	,	656758
33.47	,	657008
33.38	,	657258
33.47	,	657508
33.28	,	657758
33.47	,	658008
33.30	,	658258
33.39	,	658508
33.33	,	658758
33.38	,	659008
33.27	,	659258
33.38	,	659508
33.28	,	659758
33.39	,	660008
33.25	,	660258
33.38	,	660508
33.19	,	660758
33.36	,	661008
33.20	,	661258
33.38	,	661508
33.20	,	661758
33.42	,	662008
33.25	,	662258
33.39	,	662508
33.22	,	662758
33.28	,	663008
33.19	,	663258
33.31	,	663508
33.13	,	663758
33.27	,	664008
33.14	,	664258
33.28	,	664508
33.23	,	664758
33.28	,	665008
33.20	,	665258
33.36	,	665508
33.22	,	665758
33.30	,	666008
33.19	,	666258
33.31	,	666508
33.22	,	666758
33.42	,	667008
33.27	,	667258
33.42	,	667508
33.23	,	667758
33.38	,	668008
33.28	,	668258
33.44	,	668508
33.28	,	668758
33.45	,	669008
33.30	,	669258
33.41	,	669508
33.28	,	669758
33.45	,	670008
33.31	,	670258
33.48	,	670508
33.31	,	670758
33.50	,	671008
33.30	,	671258
33.50	,	671508
33.34	,	671758
33.45	,	672008
33.34	,	672258
33.50	,	672508
33.38	,	672758
33.55	,	673008
33.41	,	673258
33.53	,	673508
33.41	,	673758
33.55	,	674008
33.44	,	674258
33.56	,	674508
33.45	,	674758
33.67	,	675008
33.48	,	675258
33.63	,	675508
33.53	,	675758
33.70	,	676008
33.47	,	676258
33.63	,	676508
33.52	,	676758
33.72	,	677008
33.53	,	677258
33.70	,	677508
33.55	,	677758
33.73	,	678008
33.56	,	678258
33.75	,	678508
33.61	,	678758
33.73	,	679008
33.61	,	679258
33.78	,	679508
33.63	,	679758
33.72	,	680008
33.69	,	680258
33.78	,	680508
33.61	,	680758
33.80	,	681008
33.66	,	681258
33.83	,	681508
33.70	,	681758
33.88	,	682008
33.69	,	682258
33.92	,	682508
33.72	,	682758
33.92	,	683008
33.73	,	683258
33.89	,	683508
33.73	,	683758
33.91	,	684008
33.80	,	684258
33.95	,	684508
33.80	,	684758
33.97	,	685008
33.80	,	685258
34.00	,	685508
33.78	,	685758
33.98	,	686008
33.86	,	686258
34.03	,	686508
33.84	,	686758
34.00	,	687008
33.84	,	687258
34.03	,	687508
33.88	,	687758
34.03	,	688008
33.86	,	688258
34.03	,	688508
33.92	,	688758
34.08	,	689008
33.92	,	689258
34.02	,	689508
33.89	,	689758
34.03	,	690008
33.91	,	690258
34.11	,	690508
33.91	,	690758
34.13	,	691008
33.94	,	691258
34.13	,	691508
33.86	,	691758
34.08	,	692008
33.94	,	692258
34.08	,	692508
33.94	,	692758
34.03	,	693008
33.86	,	693258
34.05	,	693508
33.89	,	693758
34.14	,	694008
33.92	,	694258
34.06	,	694508
33.97	,	694758
34.08	,	695008
33.92	,	695258
34.14	,	695508
34.02	,	695758
34.11	,	696008
33.95	,	696258
34.19	,	696508
34.05	,	696758
34.17	,	697008
34.03	,	697258
34.23	,	697508
34.05	,	697758
34.16	,	698008
34.03	,	698258
34.20	,	698508
34.02	,	698758
34.19	,	699008
34.02	,	699258
34.19	,	699508
34.03	,	699758
34.22	,	700008
34.11	,	700258
34.19	,	700508
34.05	,	700758
34.22	,	701008
34.08	,	701258
34.22	,	701508
34.14	,	701758
34.22	,	702008
34.09	,	702258
34.25	,	702508
34.08	,	702758
34.19	,	703008
34.16	,	703258
34.22	,	703508
34.13	,	703758
34.27	,	704008
34.09	,	704258
34.20	,	704508
34.16	,	704758
34.27	,	705008
34.13	,	705258
34.23	,	705508
34.11	,	705758
34.27	,	706008
34.09	,	706258
34.25	,	706508
34.09	,	706758
34.20	,	707008
34.11	,	707258
34.25	,	707508
34.13	,	707758
34.23	,	708008
34.13	,	708258
34.20	,	708508
34.14	,	708758
34.22	,	709008
34.19	,	709258
34.17	,	709508
34.17	,	709758
34.19	,	710008
34.19	,	710258
34.17	,	710508
34.20	,	710758
34.16	,	711008
34.19	,	711258
34.14	,	711508
34.23	,	711758
34.11	,	712008
34.22	,	712258
34.13	,	712508
34.22	,	712758
34.13	,	713008
34.27	,	713258
34.11	,	713508
34.27	,	713758
34.11	,	714008
34.28	,	714258
34.08	,	714508
34.28	,	714758
34.03	,	715008
34.25	,	715258
34.06	,	715508
34.23	,	715758
34.05	,	716008
34.25	,	716258
34.03	,	716508
34.25	,	716758
34.05	,	717008
34.19	,	717258
34.00	,	717508
34.20	,	717758
34.03	,	718008
34.19	,	718258
34.03	,	718508
34.16	,	718758
34.03	,	719008
34.19	,	719258
34.03	,	719508
34.19	,	719758
34.05	,	720008
34.17	,	720258
33.98	,	720508
34.14	,	720758
34.05	,	721008
34.14	,	721258
35.83	,	721508
34.13	,	721758
34.22	,	722008
34.09	,	722258
33.98	,	722508
34.08	,	722758
35.19	,	723008
36.11	,	723258
34.02	,	723508
36.81	,	723758
35.20	,	724008
34.05	,	724258
33.98	,	724508
33.95	,	724758
35.17	,	725008
35.41	,	725258
34.0233.91	,	725758
35.36	,	726008
33.89	,	726258
33.98	,	726508
33.86	,	726758
35.38	,	727008
33.89	,	727258
34.03	,	727508
33.86	,	727758
34.94	,	728008
33.80	,	728258
34.00	,	728508
33.81	,	728758
34.11	,	729008
33.80	,	729258
34.02	,	729508
33.80	,	729758
33.97	,	730008
33.80	,	730258
33.97	,	730508
33.77	,	730758
33.95	,	731008
33.97	,	731258
33.94	,	731508
33.77	,	731758
33.95	,	732008
33.77	,	732258
33.92	,	732508
33.75	,	732758
33.92	,	733008
33.72	,	733258
33.91	,	733508
33.77	,	733758
33.89	,	734008
33.77	,	734258
33.89	,	734508
33.78	,	734758
33.92	,	735008
33.80	,	735258
33.91	,	735508
33.80	,	735758
33.91	,	736008
33.80	,	736258
33.91	,	736508
33.83	,	736758
33.88	,	737008
33.84	,	737258
33.88	,	737508
33.86	,	737758
33.88	,	738008
33.89	,	738258
33.88	,	738508
33.92	,	738758
33.84	,	739008
33.95	,	739258
33.88	,	739508
33.97	,	739758
33.86	,	740008
33.98	,	740258
33.88	,	740508
34.02	,	740758
