Voltage in mV 	 time in ms 
4.84	,	489508
5.45	,	489758
6.03	,	490008
6.66	,	490258
7.16	,	490508
7.77	,	490758
8.20	,	491008
8.86	,	491258
9.20	,	491508
9.77	,	491758
10.03	,	492008
10.67	,	492258
11.00	,	492508
11.19	,	492758
11.73	,	493008
12.55	,	493258
12.58	,	493508
13.06	,	493758
13.06	,	494008
13.72	,	494258
14.09	,	494508
14.31	,	494758
15.06	,	495008
15.34	,	495258
14.91	,	495508
15.55	,	495758
16.53	,	496008
16.86	,	496258
16.91	,	496508
17.48	,	496758
16.58	,	497008
17.23	,	497258
17.77	,	497508
17.61	,	497758
17.64	,	498008
18.31	,	498258
18.23	,	498508
19.33	,	498758
18.80	,	499008
19.97	,	499258
19.52	,	499508
20.00	,	499758
20.12	,	500008
20.48	,	500258
20.41	,	500508
20.53	,	500758
21.17	,	501008
20.89	,	501258
21.33	,	501508
22.20	,	501758
21.59	,	502008
21.50	,	502258
21.86	,	502508
23.05	,	502758
22.30	,	503008
23.42	,	503258
22.30	,	503508
23.42	,	503758
22.77	,	504008
23.44	,	504258
23.22	,	504508
23.66	,	504758
23.75	,	505008
23.98	,	505258
24.17	,	505508
24.42	,	505758
24.31	,	506008
24.81	,	506258
24.81	,	506508
25.09	,	506758
24.87	,	507008
25.11	,	507258
25.22	,	507508
25.80	,	507758
25.77	,	508008
25.87	,	508258
25.67	,	508508
26.08	,	508758
26.12	,	509008
26.39	,	509258
26.27	,	509508
26.47	,	509758
26.59	,	510008
26.78	,	510258
26.73	,	510508
26.98	,	510758
26.92	,	511008
27.30	,	511258
27.22	,	511508
27.34	,	511758
27.41	,	512008
27.69	,	512258
27.58	,	512508
27.61	,	512758
28.20	,	513008
27.87	,	513258
27.98	,	513508
27.87	,	513758
28.20	,	514008
28.20	,	514258
28.42	,	514508
28.59	,	514758
28.34	,	515008
28.78	,	515258
28.66	,	515508
29.08	,	515758
28.80	,	516008
29.09	,	516258
29.06	,	516508
29.20	,	516758
29.16	,	517008
29.37	,	517258
29.36	,	517508
29.48	,	517758
29.41	,	518008
29.67	,	518258
29.61	,	518508
29.59	,	518758
29.80	,	519008
30.23	,	519258
30.06	,	519508
30.17	,	519758
29.83	,	520008
30.23	,	520258
30.25	,	520508
29.95	,	520758
30.37	,	521008
30.62	,	521258
30.41	,	521508
30.62	,	521758
30.55	,	522008
30.55	,	522258
30.56	,	522508
30.75	,	522758
30.58	,	523008
30.84	,	523258
30.70	,	523508
30.91	,	523758
30.89	,	524008
30.95	,	524258
31.08	,	524508
31.02	,	524758
31.17	,	525008
31.16	,	525258
31.17	,	525508
31.28	,	525758
31.39	,	526008
31.45	,	526258
31.53	,	526508
31.47	,	526758
31.61	,	527008
31.52	,	527258
31.66	,	527508
31.66	,	527758
31.78	,	528008
31.75	,	528258
31.86	,	528508
31.64	,	528758
31.80	,	529008
31.72	,	529258
31.91	,	529508
31.86	,	529758
31.95	,	530008
31.86	,	530258
32.25	,	530508
32.08	,	530758
32.17	,	531008
32.02	,	531258
32.41	,	531508
32.33	,	531758
32.27	,	532008
32.19	,	532258
32.44	,	532508
32.38	,	532758
32.52	,	533008
32.42	,	533258
32.53	,	533508
32.45	,	533758
32.67	,	534008
32.55	,	534258
32.69	,	534508
32.75	,	534758
33.31	,	535008
33.36	,	535258
33.45	,	535508
33.09	,	535758
33.31	,	536008
33.42	,	536258
33.28	,	536508
33.44	,	536758
33.38	,	537008
33.09	,	537258
33.30	,	537508
33.55	,	537758
33.55	,	538008
33.47	,	538258
33.16	,	538508
33.00	,	538758
33.75	,	539008
33.52	,	539258
33.16	,	539508
32.92	,	539758
33.30	,	540008
33.61	,	540258
33.06	,	540508
33.23	,	540758
33.98	,	541008
33.20	,	541258
33.27	,	541508
33.00	,	541758
33.33	,	542008
33.86	,	542258
33.72	,	542508
33.70	,	542758
33.25	,	543008
33.06	,	543258
33.75	,	543508
33.06	,	543758
33.23	,	544008
33.53	,	544258
33.50	,	544508
37.66	,	544758
33.59	,	545008
33.53	,	545258
36.98	,	545508
33.75	,	545758
33.36	,	546008
36.94	,	546258
33.53	,	546508
33.42	,	546758
34.19	,	547008
34.06	,	547258
33.58	,	547508
33.52	,	547758
33.63	,	548008
34.52	,	548258
33.41	,	548508
34.02	,	548758
33.92	,	549008
33.78	,	549258
33.48	,	549508
33.48	,	549758
33.83	,	550008
34.39	,	550258
33.63	,	550508
33.91	,	550758
34.42	,	551008
39.73	,	551258
34.45	,	551508
33.89	,	551758
33.80	,	552008
34.48	,	552258
33.83	,	552508
33.66	,	552758
33.66	,	553008
34.94	,	553258
33.86	,	553508
34.36	,	553758
33.63	,	554008
34.94	,	554258
33.59	,	554508
34.11	,	554758
34.56	,	555008
34.36	,	555258
34.11	,	555508
33.84	,	555758
34.03	,	556008
34.56	,	556258
34.86	,	556508
34.33	,	556758
34.69	,	557008
34.80	,	557258
34.6433.91	,	557758
34.19	,	558008
34.66	,	558258
33.89	,	558508
33.92	,	558758
34.66	,	559008
34.55	,	559258
33.73	,	559508
34.20	,	559758
34.09	,	560008
35.06	,	560258
33.88	,	560508
34.38	,	560758
34.34	,	561008
34.25	,	561258
34.73	,	561508
34.25	,	561758
34.47	,	562008
34.39	,	562258
33.80	,	562508
34.44	,	562758
34.55	,	563008
34.33	,	563258
34.59	,	563508
36.22	,	563758
37.03	,	564008
38.45	,	564258
39.28	,	564508
39.23	,	564758
38.77	,	565008
38.80	,	565258
38.69	,	565508
38.47	,	565758
37.94	,	566008
37.91	,	566258
38.09	,	566508
37.81	,	566758
37.20	,	567008
37.72	,	567258
37.73	,	567508
36.84	,	567758
37.20	,	568008
37.47	,	568258
36.83	,	568508
37.11	,	568758
36.38	,	569008
36.78	,	569258
37.28	,	569508
36.64	,	569758
36.94	,	570008
36.92	,	570258
36.95	,	570508
36.41	,	570758
36.59	,	571008
36.94	,	571258
36.44	,	571508
36.44	,	571758
35.59	,	572008
36.27	,	572258
