Voltage in mV 	 time in ms 
0.42	,	136008
0.19	,	136258
0.30	,	136508
0.05	,	136758
0.19	,	137008
-0.06	,	137258
0.08	,	137508
-0.13	,	137758
0.00	,	138008
-0.17	,	138258
-0.02	,	138508
-0.20	,	138758
-0.05	,	139008
-0.25	,	139258
-0.09	,	139508
-0.25	,	139758
-0.06	,	140008
-0.20	,	140258
-0.06	,	140508
-0.17	,	140758
-0.06	,	141008
-0.16	,	141258
-0.05	,	141508
-0.09	,	141758
0.02	,	142008
-0.03	,	142258
0.03	,	142508
0.02	,	142758
0.08	,	143008
0.03	,	143258
0.13	,	143508
0.09	,	143758
0.16	,	144008
0.14	,	144258
0.22	,	144508
0.20	,	144758
0.30	,	145008
0.36	,	145258
0.33	,	145508
0.37	,	145758
0.41	,	146008
0.47	,	146258
0.47	,	146508
0.59	,	146758
0.56	,	147008
0.67	,	147258
0.62	,	147508
0.72	,	147758
0.70	,	148008
0.81	,	148258
0.75	,	148508
0.92	,	148758
0.84	,	149008
1.00	,	149258
0.92	,	149508
1.03	,	149758
0.95	,	150008
1.09	,	150258
1.02	,	150508
1.19	,	150758
1.08	,	151008
1.37	,	151258
1.36	,	151508
1.67	,	151758
1.70	,	152008
2.30	,	152258
2.52	,	152508
2.80	,	152758
2.64	,	153008
2.81	,	153258
2.69	,	153508
2.83	,	153758
2.67	,	154008
2.86	,	154258
2.72	,	154508
2.84	,	154758
2.72	,	155008
2.87	,	155258
2.73	,	155508
2.92	,	155758
2.73	,	156008
2.87	,	156258
2.70	,	156508
2.86	,	156758
2.69	,	157008
2.86	,	157258
2.70	,	157508
2.87	,	157758
2.72	,	158008
2.94	,	158258
2.77	,	158508
2.94	,	158758
2.77	,	159008
2.97	,	159258
2.83	,	159508
3.00	,	159758
2.86	,	160008
3.05	,	160258
2.89	,	160508
3.05	,	160758
2.97	,	161008
3.06	,	161258
2.94	,	161508
3.06	,	161758
2.94	,	162008
3.02	,	162258
2.94	,	162508
3.02	,	162758
2.94	,	163008
3.08	,	163258
2.98	,	163508
3.08	,	163758
3.00	,	164008
3.11	,	164258
2.98	,	164508
3.09	,	164758
3.02	,	165008
3.11	,	165258
3.06	,	165508
3.12	,	165758
3.08	,	166008
3.14	,	166258
3.12	,	166508
3.19	,	166758
3.12	,	167008
3.22	,	167258
3.17	,	167508
3.19	,	167758
3.16	,	168008
3.23	,	168258
3.20	,	168508
3.27	,	168758
3.25	,	169008
3.28	,	169258
3.28	,	169508
3.33	,	169758
3.30	,	170008
3.37	,	170258
3.33	,	170508
3.34	,	170758
3.34	,	171008
3.39	,	171258
3.37	,	171508
3.37	,	171758
3.41	,	172008
3.45	,	172258
3.44	,	172508
3.45	,	172758
3.52	,	173008
3.50	,	173258
3.52	,	173508
3.55	,	173758
3.59	,	174008
3.55	,	174258
3.66	,	174508
3.62	,	174758
3.69	,	175008
3.69	,	175258
3.73	,	175508
3.73	,	175758
3.80	,	176008
3.81	,	176258
3.86	,	176508
3.84	,	176758
3.91	,	177008
3.92	,	177258
3.98	,	177508
3.95	,	177758
4.05	,	178008
4.06	,	178258
4.09	,	178508
4.09	,	178758
4.16	,	179008
4.12	,	179258
4.20	,	179508
4.17	,	179758
4.27	,	180008
4.23	,	180258
4.33	,	180508
4.27	,	180758
4.36	,	181008
4.28	,	181258
4.39	,	181508
4.30	,	181758
4.42	,	182008
4.36	,	182258
4.44	,	182508
4.42	,	182758
4.50	,	183008
4.444.58	,	183508
4.48	,	183758
4.61	,	184008
4.53	,	184258
4.66	,	184508
4.58	,	184758
4.72	,	185008
4.64	,	185258
4.77	,	185508
4.66	,	185758
4.81	,	186008
4.77	,	186258
4.87	,	186508
4.77	,	186758
4.91	,	187008
4.81	,	187258
4.98	,	187508
4.91	,	187758
5.06	,	188008
4.94	,	188258
5.09	,	188508
4.97	,	188758
5.17	,	189008
5.03	,	189258
5.23	,	189508
5.08	,	189758
5.23	,	190008
5.12	,	190258
5.30	,	190508
5.17	,	190758
5.33	,	191008
5.22	,	191258
5.39	,	191508
5.27	,	191758
5.45	,	192008
5.31	,	192258
5.50	,	192508
5.37	,	192758
5.61	,	193008
5.47	,	193258
5.64	,	193508
5.52	,	193758
5.70	,	194008
5.58	,	194258
5.73	,	194508
5.61	,	194758
5.78	,	195008
5.64	,	195258
5.84	,	195508
5.70	,	195758
5.92	,	196008
6.25	,	196258
8.02	,	196508
8.81	,	196758
9.06	,	197008
8.86	,	197258
8.97	,	197508
8.70	,	197758
8.80	,	198008
8.55	,	198258
8.69	,	198508
8.47	,	198758
8.55	,	199008
8.38	,	199258
8.50	,	199508
8.27	,	199758
8.41	,	200008
8.25	,	200258
8.36	,	200508
8.17	,	200758
8.31	,	201008
8.20	,	201258
8.27	,	201508
8.13	,	201758
8.25	,	202008
8.13	,	202258
8.20	,	202508
8.11	,	202758
8.22	,	203008
8.09	,	203258
8.17	,	203508
8.11	,	203758
8.16	,	204008
8.09	,	204258
8.14	,	204508
8.09	,	204758
8.17	,	205008
8.09	,	205258
8.19	,	205508
8.11	,	205758
8.20	,	206008
8.09	,	206258
8.20	,	206508
8.11	,	206758
8.23	,	207008
8.14	,	207258
8.22	,	207508
8.16	,	207758
8.22	,	208008
8.19	,	208258
8.22	,	208508
8.16	,	208758
8.23	,	209008
8.19	,	209258
8.23	,	209508
8.17	,	209758
8.23	,	210008
8.23	,	210258
8.31	,	210508
8.25	,	210758
8.33	,	211008
8.31	,	211258
