Voltage in mV 	 time in ms 
1.52	,	1197258
0.39	,	1197508
1.37	,	1197758
0.66	,	1198008
0.61	,	1198258
0.50	,	1198508
1.11	,	1198758
1.28	,	1199008
0.53	,	1199258
1.00	,	1199508
0.66	,	1199758
0.47	,	1200008
1.36	,	1200258
0.20	,	1200508
0.77	,	1200758
0.66	,	1201008
0.97	,	1201258
0.92	,	1201508
0.28	,	1201758
0.48	,	1202008
0.88	,	1202258
0.25	,	1202508
0.78	,	1202758
0.70	,	1203008
0.91	,	1203258
0.37	,	1203508
0.36	,	1203758
0.78	,	1204008
0.33	,	1204258
0.56	,	1204508
0.55	,	1204758
0.59	,	1205008
0.52	,	1205258
0.64	,	1205508
0.47	,	1205758
0.69	,	1206008
0.58	,	1206258
0.52	,	1206508
0.50	,	1206758
0.53	,	1207008
0.47	,	1207258
0.58	,	1207508
0.52	,	1207758
0.58	,	1208008
0.52	,	1208258
0.48	,	1208508
0.36	,	1208758
0.36	,	1209008
0.55	,	1209258
0.44	,	1209508
0.45	,	1209758
0.37	,	1210008
0.34	,	1210258
0.48	,	1210508
0.42	,	1210758
0.39	,	1211008
0.41	,	1211258
0.45	,	1211508
0.37	,	1211758
0.39	,	1212008
0.47	,	1212258
0.45	,	1212508
0.52	,	1212758
0.42	,	1213008
0.39	,	1213258
0.52	,	1213508
0.36	,	1213758
0.34	,	1214008
0.37	,	1214258
0.47	,	1214508
0.30	,	1214758
0.48	,	1215008
0.36	,	1215258
0.48	,	1215508
0.37	,	1215758
0.42	,	1216008
0.30	,	1216258
0.37	,	1216508
0.30	,	1216758
0.33	,	1217008
0.19	,	1217258
0.33	,	1217508
0.19	,	1217758
0.36	,	1218008
0.19	,	1218258
0.28	,	1218508
0.20	,	1218758
0.30	,	1219008
0.16	,	1219258
0.19	,	1219508
0.08	,	1219758
0.25	,	1220008
0.14	,	1220258
0.23	,	1220508
0.06	,	1220758
0.25	,	1221008
0.03	,	1221258
0.20	,	1221508
-0.03	,	1221758
0.13	,	1222008
0.00	,	1222258
0.20	,	1222508
0.00	,	1222758
0.11	,	1223008
-0.02	,	1223258
0.17	,	1223508
0.00	,	1223758
0.09	,	1224008
-0.05	,	1224258
0.13	,	1224508
-0.05	,	1224758
0.13	,	1225008
-0.03	,	1225258
0.02	,	1225508
-0.09	,	1225758
0.05	,	1226008
-0.06	,	1226258
0.13	,	1226508
-0.13	,	1226758
0.05	,	1227008
-0.13	,	1227258
0.06	,	1227508
-0.09	,	1227758
0.06	,	1228008
-0.13	,	1228258
0.09	,	1228508
-0.09	,	1228758
0.05	,	1229008
-0.05	,	1229258
0.13	,	1229508
-0.14	,	1229758
0.14	,	1230008
-0.09	,	1230258
0.00	,	1230508
-0.11	,	1230758
0.05	,	1231008
-0.13	,	1231258
0.05	,	1231508
-0.09	,	1231758
0.05	,	1232008
-0.11	,	1232258
0.03	,	1232508
-0.11	,	1232758
0.05	,	1233008
-0.13	,	1233258
0.03	,	1233508
-0.11	,	1233758
0.02	,	1234008
-0.11	,	1234258
0.08	,	1234508
-0.09	,	1234758
0.06	,	1235008
-0.06	,	1235258
0.03	,	1235508
-0.08	,	1235758
0.05	,	1236008
-0.08	,	1236258
0.05	,	1236508
-0.03	,	1236758
0.02	,	1237008
-0.08	,	1237258
0.00	,	1237508
-0.03	,	1237758
0.02	,	1238008
-0.02	,	1238258
-0.05	,	1238508
-0.02	,	1238758
-0.06	,	1239008
0.02	,	1239258
-0.06	,	1239508
0.03	,	1239758
-0.14	,	1240008
-0.11	,	1240258
-0.14	,	1240508
-0.06	,	1240758
-0.19	,	1241008
-0.06	,	1241258
-0.16	,	1241508
-0.09	,	1241758
-0.17	,	1242008
-0.08	,	1242258
-0.17	,	1242508
-0.05	,	1242758
-0.20	,	1243008
-0.02	,	1243258
-0.19	,	1243508
-0.06	,	1243758
-0.25	,	1244008
-0.06	,	1244258
-0.23	,	1244508
-0.03	,	1244758
-0.22	,	1245008
-0.03	,	1245258
-0.20	,	1245508
-0.05	,	1245758
-0.16	,	1246008
0.00	,	1246258
-0.17	,	1246508
0.03	,	1246758
-0.16	,	1247008
0.03	,	1247258
-0.17	,	1247508
0.00	,	1247758
-0.16	,	1248008
0.06	,	1248258
-0.08	,	1248508
0.11	,	1248758
-0.06	,	1249008
0.08	,	1249258
-0.09	,	1249508
0.08	,	1249758
-0.08	,	1250008
0.03	,	1250258
-0.05	,	1250508
0.05	,	1250758
-0.06	,	1251008
0.05	,	1251258
-0.09	,	1251508
0.03	,	1251758
-0.03	,	1252008
0.14	,	1252258
-0.05	,	1252508
0.16	,	1252758
-0.05	,	1253008
0.08	,	1253258
-0.03	,	1253508
0.08	,	1253758
0.03	,	1254008
0.06	,	1254258
-0.02	,	1254508
0.13	,	1254758
-0.03	,	1255008
0.08	,	1255258
0.08	,	1255508
0.06	,	1255758
0.06	,	1256008
0.14	,	1256258
0.02	,	1256508
0.13	,	1256758
0.03	,	1257008
0.09	,	1257258
0.03	,	1257508
0.09	,	1257758
0.06	,	1258008
0.06	,	1258258
0.09	,	1258508
0.08	,	1258758
0.08	,	1259008
0.09	,	1259258
0.17	,	1259508
0.09	,	1259758
0.19	,	1260008
0.05	,	1260258
0.09	,	1260508
0.05	,	1260758
0.09	,	1261008
-0.02	,	1261258
0.20	,	1261508
0.03	,	1261758
0.16	,	1262008
0.05	,	1262258
0.09	,	1262508
0.03	,	1262758
0.13	,	1263008
0.08	,	1263258
0.19	,	1263508
0.02	,	1263758
0.19	,	1264008
0.06	,	1264258
0.22	,	1264508
-0.02	,	1264758
0.16	,	1265008
0.00	,	1265258
0.20	,	1265508
0.09	,	1265758
0.25	,	1266008
0.05	,	1266258
0.19	,	1266508
0.00	,	1266758
0.25	,	1267008
0.03	,	1267258
0.23	,	1267508
0.05	,	1267758
0.25	,	1268008
0.06	,	1268258
0.25	,	1268508
0.06	,	1268758
0.25	,	1269008
0.09	,	1269258
0.27	,	1269508
0.05	,	1269758
0.22	,	1270008
0.03	,	1270258
0.25	,	1270508
0.06	,	1270758
0.28	,	1271008
0.03	,	1271258
0.23	,	1271508
0.11	,	1271758
0.22	,	1272008
0.08	,	1272258
0.28	,	1272508
0.06	,	1272758
0.27	,	1273008
0.08	,	1273258
0.23	,	1273508
0.06	,	1273758
0.22	,	1274008
0.09	,	1274258
0.27	,	1274508
0.11	,	1274758
0.28	,	1275008
0.11	,	1275258
0.27	,	1275508
0.13	,	1275758
0.30	,	1276008
0.11	,	1276258
0.30	,	1276508
0.14	,	1276758
0.22	,	1277008
0.02	,	1277258
0.19	,	1277508
0.05	,	1277758
0.11	,	1278008
-0.08	,	1278258
0.05	,	1278508
-0.09	,	1278758
-0.03	,	1279008
-0.14	,	1279258
0.00	,	1279508
-0.06	,	1279758
0.03	,	1280008
-0.05	,	1280258
0.06	,	1280508
-0.02	,	1280758
0.08	,	1281008
-0.05	,	1281258
0.11	,	1281508
0.06	,	1281758
0.11	,	1282008
0.06	,	1282258
0.13	,	1282508
0.08	,	1282758
0.16	,	1283008
0.11	,	1283258
0.16	,	1283508
0.11	,	1283758
0.13	,	1284008
0.13	,	1284258
0.11	,	1284508
0.16	,	1284758
0.14	,	1285008
0.14	,	1285258
0.08	,	1285508
0.22	,	1285758
0.16	,	1286008
0.19	,	1286258
0.13	,	1286508
0.22	,	1286758
0.13	,	1287008
0.22	,	1287258
0.16	,	1287508
0.23	,	1287758
0.11	,	1288008
0.25	,	1288258
0.09	,	1288508
0.31	,	1288758
0.14	,	1289008
0.31	,	1289258
0.17	,	1289508
0.33	,	1289758
0.13	,	1290008
0.33	,	1290258
0.16	,	1290508
0.36	,	1290758
0.16	,	1291008
0.36	,	1291258
0.17	,	1291508
0.36	,	1291758
0.20	,	1292008
0.56	,	1292258
0.25	,	1292508
0.45	,	1292758
0.25	,	1293008
0.52	,	1293258
0.27	,	1293508
0.48	,	1293758
0.28	,	1294008
0.56	,	1294258
0.36	,	1294508
0.56	,	1294758
0.36	,	1295008
0.58	,	1295258
0.34	,	1295508
0.53	,	1295758
0.36	,	1296008
0.55	,	1296258
0.34	,	1296508
0.53	,	1296758
0.39	,	1297008
0.59	,	1297258
0.42	,	1297508
0.56	,	1297758
0.44	,	1298008
0.61	,	1298258
0.41	,	1298508
0.66	,	1298758
0.45	,	1299008
0.66	,	1299258
0.50	,	1299508
0.69	,	1299758
0.50	,	1300008
0.61	,	1300258
0.53	,	1300508
0.62	,	1300758
0.53	,	1301008
0.69	,	1301258
0.53	,	1301508
0.67	,	1301758
0.58	,	1302008
0.70	,	1302258
0.58	,	1302508
0.66	,	1302758
0.58	,	1303008
0.69	,	1303258
0.67	,	1303508
0.67	,	1303758
0.64	,	1304008
0.70	,	1304258
0.72	,	1304508
0.69	,	1304758
0.72	,	1305008
0.66	,	1305258
0.69	,	1305508
0.62	,	1305758
0.72	,	1306008
0.62	,	1306258
0.78	,	1306508
0.64	,	1306758
0.80	,	1307008
0.69	,	1307258
0.83	,	1307508
0.64	,	1307758
0.84	,	1308008
0.69	,	1308258
0.88	,	1308508
0.66	,	1308758
0.86	,	1309008
0.72	,	1309258
0.91	,	1309508
0.66	,	1309758
0.89	,	1310008
0.67	,	1310258
0.91	,	1310508
0.69	,	1310758
0.86	,	1311008
0.72	,	1311258
0.91	,	1311508
0.73	,	1311758
0.94	,	1312008
0.75	,	1312258
0.94	,	1312508
0.77	,	1312758
0.94	,	1313008
0.78	,	1313258
0.97	,	1313508
0.81	,	1313758
1.00	,	1314008
0.81	,	1314258
0.97	,	1314508
0.84	,	1314758
0.98	,	1315008
0.84	,	1315258
1.00	,	1315508
0.86	,	1315758
1.02	,	1316008
0.88	,	1316258
1.06	,	1316508
0.89	,	1316758
1.05	,	1317008
0.89	,	1317258
1.06	,	1317508
0.94	,	1317758
1.08	,	1318008
0.94	,	1318258
1.11	,	1318508
0.95	,	1318758
1.14	,	1319008
1.00	,	1319258
1.16	,	1319508
1.03	,	1319758
1.17	,	1320008
1.09	,	1320258
1.23	,	1320508
1.11	,	1320758
1.19	,	1321008
1.17	,	1321258
1.27	,	1321508
1.28	,	1321758
1.31	,	1322008
1.22	,	1322258
1.30	,	1322508
1.19	,	1322758
1.33	,	1323008
1.23	,	1323258
1.37	,	1323508
1.33	,	1323758
1.41	,	1324008
1.30	,	1324258
1.37	,	1324508
1.33	,	1324758
1.41	,	1325008
1.34	,	1325258
1.42	,	1325508
1.30	,	1325758
1.47	,	1326008
1.41	,	1326258
1.47	,	1326508
1.45	,	1326758
1.45	,	1327008
1.52	,	1327258
1.50	,	1327508
1.52	,	1327758
1.48	,	1328008
1.48	,	1328258
1.52	,	1328508
1.55	,	1328758
1.50	,	1329008
1.61	,	1329258
1.59	,	1329508
1.61	,	1329758
1.53	,	1330008
1.61	,	1330258
1.52	,	1330508
1.61	,	1330758
1.52	,	1331008
1.58	,	1331258
1.50	,	1331508
1.58	,	1331758
1.48	,	1332008
1.59	,	1332258
1.48	,	1332508
1.67	,	1332758
1.55	,	1333008
1.64	,	1333258
1.53	,	1333508
1.72	,	1333758
1.56	,	1334008
1.66	,	1334258
1.53	,	1334508
1.64	,	1334758
1.55	,	1335008
1.67	,	1335258
1.53	,	1335508
1.70	,	1335758
1.55	,	1336008
1.69	,	1336258
1.53	,	1336508
1.731.50	,	1337008
1.75	,	1337258
1.53	,	1337508
1.72	,	1337758
1.53	,	1338008
1.73	,	1338258
1.53	,	1338508
1.72	,	1338758
1.52	,	1339008
1.75	,	1339258
1.52	,	1339508
1.73	,	1339758
1.55	,	1340008
1.75	,	1340258
1.58	,	1340508
1.80	,	1340758
1.59	,	1341008
1.78	,	1341258
1.53	,	1341508
1.81	,	1341758
1.58	,	1342008
1.73	,	1342258
1.56	,	1342508
1.77	,	1342758
1.58	,	1343008
1.73	,	1343258
1.58	,	1343508
1.75	,	1343758
1.58	,	1344008
1.73	,	1344258
1.61	,	1344508
1.75	,	1344758
1.56	,	1345008
1.77	,	1345258
1.56	,	1345508
1.78	,	1345758
1.56	,	1346008
1.80	,	1346258
1.59	,	1346508
1.80	,	1346758
1.61	,	1347008
1.78	,	1347258
1.61	,	1347508
1.78	,	1347758
1.59	,	1348008
1.77	,	1348258
1.67	,	1348508
1.80	,	1348758
1.66	,	1349008
1.87	,	1349258
1.72	,	1349508
1.87	,	1349758
1.69	,	1350008
1.84	,	1350258
1.70	,	1350508
1.83	,	1350758
1.67	,	1351008
1.81	,	1351258
1.62	,	1351508
1.75	,	1351758
1.58	,	1352008
1.70	,	1352258
1.58	,	1352508
1.69	,	1352758
1.59	,	1353008
1.72	,	1353258
1.58	,	1353508
1.62	,	1353758
1.53	,	1354008
1.55	,	1354258
1.45	,	1354508
1.56	,	1354758
1.41	,	1355008
1.55	,	1355258
1.42	,	1355508
1.48	,	1355758
1.36	,	1356008
1.41	,	1356258
1.36	,	1356508
1.39	,	1356758
1.33	,	1357008
1.37	,	1357258
1.22	,	1357508
1.31	,	1357758
1.22	,	1358008
1.27	,	1358258
1.19	,	1358508
1.22	,	1358758
1.17	,	1359008
1.22	,	1359258
1.17	,	1359508
1.16	,	1359758
1.14	,	1360008
1.16	,	1360258
1.16	,	1360508
1.14	,	1360758
1.14	,	1361008
1.09	,	1361258
1.12	,	1361508
1.06	,	1361758
1.12	,	1362008
1.06	,	1362258
1.09	,	1362508
1.05	,	1362758
1.09	,	1363008
1.05	,	1363258
1.08	,	1363508
0.98	,	1363758
1.06	,	1364008
0.92	,	1364258
1.03	,	1364508
0.89	,	1364758
1.00	,	1365008
0.84	,	1365258
0.95	,	1365508
0.84	,	1365758
1.02	,	1366008
0.84	,	1366258
1.00	,	1366508
0.84	,	1366758
0.98	,	1367008
0.83	,	1367258
1.06	,	1367508
0.83	,	1367758
1.03	,	1368008
0.91	,	1368258
1.12	,	1368508
0.92	,	1368758
1.12	,	1369008
0.97	,	1369258
1.19	,	1369508
1.02	,	1369758
1.19	,	1370008
1.03	,	1370258
1.25	,	1370508
1.06	,	1370758
1.31	,	1371008
1.11	,	1371258
1.31	,	1371508
1.12	,	1371758
1.33	,	1372008
1.16	,	1372258
1.39	,	1372508
1.22	,	1372758
1.39	,	1373008
1.30	,	1373258
1.47	,	1373508
1.30	,	1373758
1.48	,	1374008
1.36	,	1374258
1.52	,	1374508
1.41	,	1374758
1.59	,	1375008
1.42	,	1375258
1.64	,	1375508
1.50	,	1375758
1.66	,	1376008
1.56	,	1376258
1.70	,	1376508
1.53	,	1376758
1.80	,	1377008
1.59	,	1377258
1.73	,	1377508
1.59	,	1377758
1.73	,	1378008
1.66	,	1378258
1.75	,	1378508
1.70	,	1378758
1.75	,	1379008
1.72	,	1379258
1.73	,	1379508
1.73	,	1379758
1.70	,	1380008
1.80	,	1380258
1.73	,	1380508
1.84	,	1380758
1.78	,	1381008
1.84	,	1381258
1.73	,	1381508
1.91	,	1381758
1.73	,	1382008
1.89	,	1382258
1.73	,	1382508
1.97	,	1382758
1.80	,	1383008
1.98	,	1383258
1.78	,	1383508
1.98	,	1383758
1.81	,	1384008
2.02	,	1384258
1.89	,	1384508
2.09	,	1384758
1.86	,	1385008
2.05	,	1385258
1.84	,	1385508
2.19	,	1385758
1.89	,	1386008
2.09	,	1386258
1.91	,	1386508
2.19	,	1386758
1.95	,	1387008
2.14	,	1387258
2.00	,	1387508
2.17	,	1387758
2.02	,	1388008
2.17	,	1388258
2.03	,	1388508
2.14	,	1388758
2.05	,	1389008
2.12	,	1389258
2.03	,	1389508
2.11	,	1389758
2.06	,	1390008
2.09	,	1390258
2.11	,	1390508
2.12	,	1390758
2.16	,	1391008
2.12	,	1391258
2.16	,	1391508
2.08	,	1391758
2.20	,	1392008
2.11	,	1392258
2.25	,	1392508
2.09	,	1392758
2.25	,	1393008
2.06	,	1393258
2.27	,	1393508
2.08	,	1393758
2.28	,	1394008
2.08	,	1394258
2.33	,	1394508
2.12	,	1394758
2.31	,	1395008
2.12	,	1395258
2.31	,	1395508
2.16	,	1395758
2.36	,	1396008
2.19	,	1396258
2.39	,	1396508
2.19	,	1396758
2.39	,	1397008
2.20	,	1397258
2.37	,	1397508
2.19	,	1397758
2.36	,	1398008
2.22	,	1398258
2.34	,	1398508
2.20	,	1398758
2.31	,	1399008
2.22	,	1399258
2.28	,	1399508
2.19	,	1399758
2.31	,	1400008
2.22	,	1400258
2.27	,	1400508
2.22	,	1400758
2.23	,	1401008
2.22	,	1401258
2.22	,	1401508
2.27	,	1401758
2.12	,	1402008
2.28	,	1402258
2.19	,	1402508
2.28	,	1402758
2.17	,	1403008
2.27	,	1403258
2.14	,	1403508
2.30	,	1403758
2.14	,	1404008
2.33	,	1404258
2.14	,	1404508
2.33	,	1404758
2.14	,	1405008
2.30	,	1405258
2.12	,	1405508
2.30	,	1405758
2.11	,	1406008
2.27	,	1406258
2.12	,	1406508
2.30	,	1406758
2.12	,	1407008
2.30	,	1407258
2.14	,	1407508
2.27	,	1407758
2.14	,	1408008
2.30	,	1408258
2.12	,	1408508
2.27	,	1408758
2.14	,	1409008
2.22	,	1409258
2.12	,	1409508
2.22	,	1409758
2.12	,	1410008
2.20	,	1410258
2.12	,	1410508
2.16	,	1410758
2.17	,	1411008
2.09	,	1411258
2.20	,	1411508
2.06	,	1411758
2.16	,	1412008
2.08	,	1412258
2.19	,	1412508
2.06	,	1412758
2.19	,	1413008
2.05	,	1413258
2.25	,	1413508
2.12	,	1413758
2.31	,	1414008
2.16	,	1414258
2.34	,	1414508
2.20	,	1414758
2.37	,	1415008
2.17	,	1415258
2.36	,	1415508
2.23	,	1415758
2.41	,	1416008
2.27	,	1416258
2.44	,	1416508
2.25	,	1416758
2.42	,	1417008
2.22	,	1417258
2.37	,	1417508
2.28	,	1417758
2.42	,	1418008
2.27	,	1418258
2.42	,	1418508
