Voltage in mV 	 time in ms 
1.09	,	1167508
1.02	,	1167758
1.27	,	1168008
0.86	,	1168258
1.08	,	1168508
1.16	,	1168758
0.98	,	1169008
1.22	,	1169258
0.95	,	1169508
1.28	,	1169758
1.08	,	1170008
1.11	,	1170258
0.83	,	1170508
1.36	,	1170758
1.08	,	1171008
1.30	,	1171258
0.88	,	1171508
1.44	,	1171758
1.28	,	1172008
1.08	,	1172258
1.30	,	1172508
1.52	,	1172758
1.37	,	1173008
1.22	,	1173258
0.78	,	1173508
1.02	,	1173758
1.25	,	1174008
1.28	,	1174258
1.47	,	1174508
1.91	,	1174758
1.41	,	1175008
1.37	,	1175258
0.95	,	1175508
1.11	,	1175758
1.16	,	1176008
1.69	,	1176258
1.16	,	1176508
1.08	,	1176758
0.92	,	1177008
1.36	,	1177258
1.36	,	1177508
1.16	,	1177758
0.92	,	1178008
1.22	,	1178258
1.69	,	1178508
1.08	,	1178758
1.03	,	1179008
2.02	,	1179258
1.39	,	1179508
1.09	,	1179758
1.25	,	1180008
1.09	,	1180258
0.95	,	1180508
1.20	,	1180758
0.92	,	1181008
1.39	,	1181258
1.84	,	1181508
1.30	,	1181758
1.62	,	1182008
1.33	,	1182258
1.12	,	1182508
1.37	,	1182758
1.16	,	1183008
1.30	,	1183258
1.12	,	1183508
1.31	,	1183758
1.11	,	1184008
1.33	,	1184258
1.09	,	1184508
1.25	,	1184758
1.11	,	1185008
1.25	,	1185258
1.11	,	1185508
1.19	,	1185758
1.09	,	1186008
1.28	,	1186258
1.11	,	1186508
1.28	,	1186758
1.06	,	1187008
1.23	,	1187258
1.05	,	1187508
1.11	,	1187758
1.05	,	1188008
1.16	,	1188258
1.02	,	1188508
1.17	,	1188758
1.02	,	1189008
1.12	,	1189258
1.00	,	1189508
1.12	,	1189758
0.94	,	1190008
1.14	,	1190258
0.97	,	1190508
1.05	,	1190758
0.86	,	1191008
1.09	,	1191258
0.94	,	1191508
1.12	,	1191758
0.88	,	1192008
0.98	,	1192258
0.83	,	1192508
0.97	,	1192758
0.84	,	1193008
1.00	,	1193258
0.86	,	1193508
0.98	,	1193758
0.75	,	1194008
0.88	,	1194258
0.83	,	1194508
0.91	,	1194758
0.83	,	1195008
1.00	,	1195258
0.98	,	1195508
0.59	,	1195758
1.09	,	1196008
1.47	,	1196258
0.27	,	1196508
1.44	,	1196758
0.59	,	1197008
